ordre,SPACE,X,VERB,SYM,SCONJ,PUNCT,PROPN,PRON,PART,NUM,NOUN,INTJ,DET,CCONJ,AUX,ADV,ADP,ADJ,PER,ORG,MISC,LOC
5,3.5019857985317127,3.500989812177104,4.477883472057075,3.5011311128224873,3.488754479148136,3.8946731234866827,3.398024297459811,4.122979283918093,3.501407501864639,3.5478121583483766,4.632027257240204,3.5007703418391913,4.4322337042925275,3.3397678486245828,3.6027010759160336,3.8711804588093246,4.344799785004031,3.1253556080140426,3.4527657405047156,3.484013451789389,3.4387760443932573,3.486677850693245
10,2.3125,3.422680412371134,3.5777069448469043,4.75,3.6639635073492145,2.9892696122633002,3.5872022256998783,3.0149020966903484,0.0,2.5608180839612484,3.957943925233645,4.75,3.2247395011051467,3.8232533889468194,3.054409005628518,2.9215294726721397,3.2849883548591996,3.1667315326535377,4.174603174603175,3.6803435114503817,3.9935802469135804,3.9189944134078214
15,1.0,3.5789473684210527,2.827173044804299,4.0,4.192708333333333,3.143867426641334,4.2220227408737285,2.864745803071794,0.0,3.1758241758241756,3.2763310185185186,4.333333333333333,2.947141316073355,4.517964071856287,3.979302414718283,3.3505688858848712,2.993414863593603,4.1152618734747515,4.520607375271149,4.065789473684211,4.413489736070381,4.346590909090909
20,0.0,4.4,3.2240196078431373,0.0,4.404761904761905,3.830888888888889,4.5,3.35415421398685,0.0,3.445945945945946,3.017266078564427,0.0,3.765625,4.63883495145631,4.312039312039312,3.8972202756365335,3.563051445635944,4.452916259367872,4.711627906976744,4.359375,4.600682593856655,4.605633802816901
25,0.0,0.0,3.9779036827195466,0.0,4.2,4.149548532731377,4.607558139534884,4.018163471241171,0.0,4.0,3.358936484490399,0.0,4.262638717632552,4.75,4.580392156862745,4.196306068601583,4.097686375321337,4.590531030070378,4.632352941176471,4.325301204819277,4.782894736842105,4.6
30,0.0,4.0,4.279236276849642,0.0,0.0,4.27,4.627118644067797,4.236,0.0,3.25,3.9107045330420536,0.0,4.380165289256198,4.8,4.862068965517241,4.228748068006182,4.3093093093093096,4.661375661375661,5.0,4.242424242424242,4.5,3.6666666666666665
35,0.0,5.0,4.592405063291139,0.0,5.0,4.424568965517241,4.716666666666667,4.635467980295567,0.0,4.8,4.328598484848484,5.0,4.590909090909091,4.78125,4.575757575757576,4.551111111111111,4.30030959752322,4.671919770773639,4.5813953488372094,4.666666666666667,4.760416666666667,4.521739130434782
40,0.0,5.0,4.533898305084746,0.0,0.0,4.413333333333333,4.911111111111111,4.605263157894737,0.0,0.0,4.425567703952901,0.0,4.7272727272727275,0.0,4.6,4.57556270096463,4.351851851851852,4.695783132530121,4.0,4.681818181818182,4.583333333333333,5.0
45,0.0,5.0,4.333333333333333,0.0,0.0,3.971014492753623,4.75,4.684210526315789,0.0,0.0,4.53083109919571,0.0,3.0,0.0,0.0,4.53932584269663,4.1875,4.7032967032967035,0.0,4.666666666666667,5.0,0.0
50,0.0,3.0,4.718954248366013,0.0,0.0,4.391304347826087,4.686746987951807,4.625,0.0,5.0,4.637342908438061,0.0,4.090909090909091,5.0,4.777777777777778,4.631399317406143,4.542857142857143,4.651351351351352,4.576923076923077,4.357142857142857,4.880952380952381,5.0
55,0.0,0.0,5.0,0.0,0.0,3.6666666666666665,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0
60,0.0,4.0,4.666666666666667,0.0,0.0,4.0,5.0,5.0,0.0,0.0,4.644444444444445,0.0,0.0,0.0,5.0,4.76595744680851,5.0,4.869565217391305,0.0,4.5,5.0,0.0
65,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,4.9393939393939394,0.0,5.0,4.153846153846154,4.842105263157895,5.0,0.0,0.0,4.676923076923077,0.0,0.0,0.0,0.0,4.69811320754717,5.0,4.702127659574468,0.0,4.5,4.875,0.0
75,0.0,0.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,4.642857142857143,0.0,0.0,0.0,0.0,4.714285714285714,4.5,4.842105263157895,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.666666666666667,0.0,5.0,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
100,0.0,5.0,4.666666666666667,0.0,0.0,3.857142857142857,4.555555555555555,3.0,0.0,0.0,4.380952380952381,0.0,1.0,0.0,0.0,4.714285714285714,0.0,4.512820512820513,4.5,4.6,4.8,4.25
