word,frequency
commande,6931
client,6357
service,5894
site,5865
recevoir,5648
colis,4992
vendeur,4916
livraison,4780
article,4310
commander,4255
euro,4199
jour,4119
bien,3782
produit,3766
rembourser,3235
remboursement,3233
compte,2922
livrer,2754
acheter,2708
mois,2588
problème,2486
achat,2269
arriver,2216
bon,2161
envoyer,2150
mail,2103
demande,2091
payer,2048
téléphone,1954
réponse,1952
prix,1699
command,1662
répondre,1589
demander,1589
frais,1589
contacter,1588
attendre,1518
temps,1493
semaine,1488
voir,1454
devoir,1449
vouloir,1412
avis,1411
passer,1367
livreur,1338
réclamation,1328
annuler,1317
impossible,1308
prime,1287
mauvais,1244
prendre,1211
renvoyer,1209
mettre,1204
délai,1195
vente,1182
pouvoir,1120
appeler,1118
argent,1106
message,1105
carte,1087
savoir,1083
vendre,1022
refuser,963
perdre,963
sav,957
cher,955
numéro,942
proposer,928
garantie,927
date,891
appel,865
arnaque,860
photo,844
nouveau,795
point,777
qualité,772
donner,770
transporteur,759
voleur,759
suivi,753
paiement,736
chose,735
adresse,733
attention,719
effectuer,705
livre,705
expérience,700
contre,694
déçu,688
recommander,686
acheteur,673
fonctionner,669
envoi,669
commentaire,661
indiquer,655
trouver,643
petit,629
erreur,626
heure,622
année,620
retourner,615
contact,611
éviter,606
bloquer,602
poste,599
tard,596
comprendre,593
pire,589
attente,588
bancaire,586
venir,584
plainte,583
sérieux,572
dire,571
conseiller,570
long,564
souci,563
utiliser,551
lettre,520
expliquer,520
décembre,517
cadeau,513
france,507
confirmer,506
respecter,499
réception,497
étoile,497
rappeler,486
solution,482
essayer,482
preuve,473
neuf,472
commercial,468
dommage,459
retard,457
information,455
objet,455
français,449
société,446
faux,445
jusque,443
correspondre,443
entreprise,443
moyen,442
retrouver,436
attend,435
devenir,435
mieux,434
obtenir,434
expédier,432
absolument,431
question,427
échange,424
changer,424
raison,415
montant,413
déposer,411
vol,408
mai,408
boîte,401
abonnement,401
stock,396
prévoir,394
récupérer,389
annoncer,389
fournisseur,386
appareil,385
joindre,382
prélever,379
responsable,379
charge,377
banque,377
finalement,377
amazone,377
débiter,376
déconseiller,376
écrire,375
lendemain,375
noël,375
ligne,371
ensuite,371
escroc,369
code,368
valider,367
falloir,366
boite,364
accepter,361
honte,357
indique,357
litige,354
dossier,347
régler,346
place,345
souhaiter,343
croire,340
agir,334
obliger,334
lire,334
donne,331
oui,331
vrai,331
facture,330
cause,330
partir,329
inadmissible,325
défectueux,323
surprise,323
fournir,322
juillet,322
annulation,321
confiance,317
explication,316
porter,316
décevoir,313
vérifier,313
porte,313
somme,312
juin,311
début,311
geste,311
laisse,308
janvier,308
avril,308
négatif,308
incompétent,308
honteux,306
espérer,304
état,301
entendre,301
remettre,300
droit,299
préciser,299
personne,298
résultat,297
simple,295
portable,295
choisir,294
iphone,294
relai,293
décider,292
arnaqu,291
autant,289
laisser,289
affaire,287
paypal,287
rapide,287
annonce,286
pièce,286
servir,284
disponible,282
chine,281
minute,281
raccrocher,280
emballage,280
voler,279
chercher,279
taille,279
chinois,278
main,277
nom,277
choix,276
note,276
mars,274
supprimer,274
novembre,274
déplorable,273
relance,271
cours,270
situation,269
super,268
arrêter,267
fuyez,267
pratique,267
traiter,266
total,265
conforme,264
tomber,264
coli,264
constater,263
carton,263
offrir,261
pro,260
revenir,259
rapidement,259
normal,259
totalement,258
penser,257
noter,257
internet,256
besoin,256
expédition,254
renvoi,251
assurer,251
manque,251
fermer,250
consommateur,250
reprise,249
informer,249
journée,249
exister,247
écran,245
valoir,245
valeur,242
lamentable,242
nez,241
discount,241
malhonnête,240
mot,240
offre,239
signaler,239
fortement,239
résoudre,237
malheureusement,237
ouvrir,237
prélèvement,237
escroquerie,237
faute,236
professionnel,236
conseil,234
évidemment,234
prévenir,233
côté,231
