word,frequency
bon,5687
site,5554
bien,5265
livraison,4880
commande,4029
produit,3859
service,3684
prix,3628
rapide,3458
client,2953
article,2935
problème,2829
vendeur,2447
achat,2326
recommander,2281
satisfait,1799
recevoir,1786
qualité,1784
choix,1522
satisfaire,1489
parfaire,1458
super,1371
commander,1296
souci,1258
sérieux,1243
délai,1242
acheter,1223
temps,1118
arriver,1097
colis,1090
rembourser,1089
remboursement,981
livre,974
top,963
vente,960
rapidement,944
content,940
excellent,936
conforme,889
année,868
cher,809
efficace,809
command,797
facile,792
petit,776
trouver,769
jour,751
frais,750
livrer,743
long,709
réactif,696
envoi,675
expérience,650
intéressant,589
aimer,575
rapport,569
état,566
point,558
décevoir,547
sav,537
euro,528
correct,500
avis,495
paiement,490
passer,470
rapidité,469
meilleur,459
voir,454
acheteur,450
adorer,442
déçu,441
suivi,440
chose,439
dommage,427
réclamation,423
description,421
confiance,418
utiliser,411
vendre,402
bravo,386
correspondre,385
date,384
prime,383
simple,382
respecter,381
régler,380
proposer,379
payer,378
réponse,376
transaction,373
continuer,364
attente,359
écoute,354
ensemble,353
pouvoir,351
jusque,346
mauvais,343
objet,342
mettre,342
redire,341
pratique,341
occasion,335
général,335
suivre,334
fiable,331
résoudre,329
recherche,319
litige,318
répondre,317
compte,316
vivement,316
demande,315
effectuer,312
contre,311
prendre,306
taille,300
ligne,297
envoyer,296
attendre,291
discount,291
photo,290
devoir,288
solution,288
mois,287
produire,286
clair,285
réception,283
emballer,281
étoile,280
impeccable,277
heure,275
attention,270
savoir,258
réactivité,257
neuf,257
livreur,255
besoin,252
vouloir,251
instant,251
téléphone,250
conseiller,248
france,247
attractif,244
professionnel,240
équipe,239
prévoir,238
fidèle,234
français,231
probleme,229
facilité,225
compétitif,224
expédition,223
application,223
demander,222
utilisation,221
fonctionner,221
mieux,221
donner,219
cordialement,215
emballage,214
bémol,211
gratuit,211
présent,211
affaire,210
ras,209
niveau,209
satisfaisant,209
ok,209
large,206
erreur,206
boutique,202
régulièrement,201
retard,198
rare,195
mail,194
satisfaction,192
poste,189
ravir,188
lire,188
trer,188
venir,185
apprécier,183
rencontrer,183
semaine,182
contacter,181
entreprise,180
tarif,177
raisonnable,176
offre,174
vêtement,173
parfaitement,172
recommande,171
annonce,169
habitude,169
négatif,168
comprendre,163
chercher,162
particulier,161
connaître,161
rarement,161
efficacité,160
fournisseur,159
matériel,159
carte,159
descriptif,158
question,155
magasin,154
sécuriser,153
changer,152
agréable,151
plateform,151
message,150
possibilité,149
génial,148
nickel,148
annuler,148
réduction,147
contact,147
choisir,147
note,146
code,146
plaisir,146
important,144
renvoyer,143
système,142
communication,142
remercier,141
commentaire,141
retour,141
offrir,140
internet,140
traiter,140
charge,139
disponible,139
garantie,138
moindre,138
dvd,137
bel,137
élevé,134
abordable,133
surprise,133
espérer,133
parfait,132
améliorer,132
commercial,131
pro,130
perdre,130
annoncer,130
cause,130
expédier,129
sympa,129
plupart,128
positif,128
honnête,126
personne,126
difficile,125
obtenir,123
échange,123
défectueux,123
traitement,122
marchand,121
serieux,121
information,121
permettre,121
dérouler,120
hésiter,120
volonté,120
transporteur,119
facilement,119
exemple,119
clientèl,119
indiquer,118
avance,118
fidélité,117
oui,117
soigner,116
cd,116
gratuite,116
société,116
transport,115
cherche,115
immédiatement,114
varier,114
commerce,114
prise,113
regarder,113
signaler,113
nouveau,111
adresse,111
cadeau,111
condition,110
gérer,110
grâce,109
annulation,109
thumbsup,107
professionnalisme,107
falloir,107
beau,106
franchement,106
marchandise,104
donne,102
club,102
respect,102
argent,102
entièrement,101
numéro,101
début,100
vrai,99
travail,98
généralement,98
retourner,98
manque,97
mode,97
plein,97
concurrence,97
page,96
dire,96
relai,96
conseil,96
souhaiter,95
malheureusement,95
autant,95
appel,95
éviter,95
tenir,94
appareil,94
servir,94
prestation,93
retrouver,93
journée,93
paypal,92
plaindre,92
clientèle,92
moyen,91
problèm,91
préférer,89
ici,89
référence,88
bonheur,88
normal,88
devenir,88
chine,88
rapider,85
assurer,85
promo,84
revenir,84
imbattable,84
navigation,84
concerner,84
place,84
essayer,83
vérifier,83
attend,83
raison,83
envoie,82
compétent,81
utile,81
lendemain,81
défaut,81
sécurité,80
bientôt,80
qualite,80
tard,80
avantage,79
r,79
totalement,79
comparer,79
aide,79
jeu,79
montant,78
convier,78
minute,78
immédiat,77
réaliser,77
confirmer,77
nombre,77
cool,77
marché,76
smartphone,76
complet,75
loin,75
difficulté,74
coli,74
fortement,74
nécessaire,73
noter,72
